"id","name"
1,"Villa"
2,"Ejerlejlighed"
3,"Andelsbolig"
4,"Villalejlighed"
5,"Fritidsbolig"
6,"Landejendom"
7,"Fritidsgrund"
8,"Helårsgrund"
